,original,paraphrase,output,output_reference
689,"That Thebes bulte, or first the toun bigan,
","thebes bulte, or the first of the bigans,"," Thebes bulte, or the first of the bigans,","Who built Thebes, before the town first began,
"
690,"And of the citee first was crouned kyng.
",the first of the citee was crouched down., The first of the citee was crouched.,"And first was crowned king of the city.
"
691,"Of his lynage am I and his ofspryng
",I'm a lynch and his is a spryng., I am a lynch and his is spryng.,"I am of his lineage and his offspring
"
692,"By verray ligne, as of the stok roial,
","as of the stok roial, as of the stok roial, as of the stok roial, as of the stok roial."," As of the stok roial, as of the stok roial, as of the stok roial, as of the stok roial, as of the stok roial","By true lineage, of the royal family,
"
693,"And now I am so caytyf and so thral,
","I'm so caytyf and so thral, and I'm so thral."," IâĢĻt so caytyf and thral, and IâĢĻt so thral.","And now I am so wretched and so enslaved,
"
694,"That he that is my mortal enemy,
","that's my mortal enemy, my mortal enemy."," That is my mortal foe, my mortal foe.","That he who is my mortal enemy,
"
695,"I serve hym as his squier povrely.
",he serves as a squire to the hym., He serves as a squire to the hym.,"I meekly serve him as his squire.
"
696,"And yet dooth Juno me wel moore shame,
","yet I'm ashamed of it, but I'm ashamed of myself."," Yet I am ashamed of myself, but I am ashamed of myself.","And yet Juno does me much more shame,
"
697,"For I dar noght biknowe myn owene name;
","I'm not gonna tell you my name, but I'll tell you my name."," I will not tell you my name, but I will tell you my name.","For I dare not acknowledge my own name;
"
698,"But ther as I was wont to highte Arcite,
","as I've been accustomed to, I've been accustomed to the Arcite."," As I have been accustomed to, I have been accustomed to the Arcite.","But whereas I was accustomed to be called Arcite,
"
699,"Now highte I Philostrate, noght worth a myte.
","I'm Philostrate, noght worth a penny."," I'm Philostrate, noght worth a penny.","Now I am called Philostrate, not worth a penny.
"
700,"Allas, thou felle Mars! Allas, Juno!
","as you know, Juno, you know, I'm a little worried about you."," As you know, Juno, I am a little worried about you.","Alas, thou fierce Mars! Alas, Juno!
"
701,"Thus hath youre ire oure lynage al fordo,
","you're gonna have a lot of anger in your heart, for your own sake."," For thy heart is a lot of anger, for thy own sake.","Thus has your anger destroyed all our lineage,
"
702,"Save oonly me and wrecched Palamoun,
","I only have to deal with Palamoun, and I'm fine."," I only have to deal with Palamoun, and I am fine.","Save only me and wretched Palamon,
"
703,"That Theseus martireth in prisoun.
",theseus martireth in the name of the Lord., Theseus martireth in the name of the LORD.,"Whom Theseus torments in prison.
"
704,"And over al this, to sleen me outrely
",then I'm going to be a little pissed off., Then I'll be a little pissed off,"And in addition to all this, to slay me utterly
"
705,"Love hath his firy dart so brennyngly
","the firy dart is so sharp and so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp,..."," The firy dart is so sharp and so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp, so sharp,","Love has his fiery dart so ardently
"
706,"Ystiked thurgh my trewe, careful herte
","thou shalt not be a fool, you'll be a fool, you'll be a fool."," Thou shalt not be a fool, thou shalt not be a fool, thou shalt be a fool.","Stabbed through my faithful, sorrowful heart
"
707,"That shapen was my deeth erst than my sherte.
",shapen was my deether than my sword., Shapen was my deether than my sword.,"That my death was destined before my first garment was made.
"
708,"Ye sleen me with youre eyen, Emelye!
","I'm gonna be like you, Emelye!"," IâĢĻm like you, Emelye!","You slay me with your eyes, Emelye!
"
709,"Ye been the cause wherfore that I dye.
","I'm the cause of the dye, so I'm dyeing."," I am the cause of the dye, so I dye.","You are the cause by which I die.
"
710,"Of al the remenant of myn oother care
",the care of myn oother's care is my concern., The care of myn oother care is my care.,"Of all the rest of my other troubles
"
711,"Ne sette I nat the montance of a tare,
","sette I nt the montance of a tare,"," Sette I nt the montance of tare,","I do not reckon at the value of a weed,
"
712,"So that I koude doon aught to youre plesaunce.""
","I'm gonna do something for you, I'm gonna do something for you. """," I'm gonna do something for you, I'm gonna do something for you.","Provided that I could do anything to please you.""
"
713,"And with that word he fil doun in a traunce
","he was a trauncer with the word, and he was a trauncer with the word."," He was a trauncer with the word, and he was a trauncer with the word.","And with that word he fell down in a trance
"
714,"A longe tyme, and after he up sterte.
","after he's done, he'll be on his way, and then he'll be gone."," After he hath done, he shall go, and then come, and then come.","A long time, and afterwards he leaped up.
"
715,"This Palamoun, that thoughte that thurgh his herte
","but Palamon, that's what he's like to do, but he's not like that to Palamon."," But Palamon, that is what he is, but he is not like that to him.","This Palamon, that thought that through his heart
"
716,"He felte a coold swerd sodeynliche glyde,
","he's a coold swerd sodeynliche glyde, a coold swerd sodeynliche glyde."," He coold swerd sodeynliche glyde, a coold swerd sodeynliche glyde.","He felt a cold sword suddenly glide,
"
717,"For ire he quook; no lenger wolde he byde.
","he quaked, no lenger wolde he be."," He quaked, no lenger wolde he be.","For anger he trembled; no longer would he wait.
"
718,"And whan that he had herd Arcites tale,
","when he heard the tale of Arcites, he was surprised."," And when he heard the tale of Arcites, he was astonished.","And when he had heard Arcite's tale,
"
719,"As he were wood, with face deed and pale,
","he was a wood, with a face of a pale face, and a face of a pale face."," He was a wood, with a face of a pale face, and a face of a pale face.","As if he were mad, with face dead and pale,
"
720,"He stirte hym up out of the buskes thikke
",he stirs up the bushy hym from the bushy hym., He stirs up the bushy hym from the bushy hym.,"He leaped up out of the thick bushes
"
721,"And seide: ""Arcite, false traytour wikke,
","""Arcite, false tour of the wiki,"," ""Arcite, false tour of the wiki,","And said: ""Arcite, false, wicked traitor,
"
722,"Now artow hent, that lovest my lady so,
","artow hent, my lady is so nice to me."," Artow hent, my lady is so nice to me.","Now art thou taken, who lovest my lady so,
"
723,"For whom that I have al this peyne and wo,
",who's the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be..., Who's the one whoâĢĻs gonna be the one whoâĢĻs gonna be the one thatâĢĻs gonna be the one thatâĢĻs gonna be the one thatâĢĻs gonna be the,"For whom that I have all this pain and woe,
"
724,"And art my blood, and to my conseil sworn,
","art my blood, and I swear to you, my blood."," Art my blood, and swear to me, my blood.","And art of my blood, and sworn to be in my confidence,
"
725,"As I ful ofte have told thee heerbiforn,
","I'm telling you, heerbiforn, I'm telling you, heerbiforn, I'm telling you, heerbiforn, I'm telling..."," I tell thee, heerbiforn, I tell thee, heerbiforn, IâĢĻllâĢĻt tell thee, heerbiforn, IâĢĻllâ�","As I full often have told thee before now,
"
726,"And hast byjaped heere duc Theseus,
","he's got a lot of work to do, he's got a lot of work to do, he's got a lot of work to do."," He's got a lot of work to do, he's got a lot of work to do, he's got a lot of work to do","And hast tricked here duke Theseus,
"
727,"And falsly chaunged hast thy name thus!
","you have a name, you're a name, you're a name, you're a name, you're a name, you're a name, you're..."," You have a name, you have a name, you have a name, you have a name, you're a name, you're a name, you're a name, you're a name, you're a name, you're a name, you're a","And thus hast falsely changed thy name!
"
728,"I wol be deed, or elles thou shalt dye.
","you have to do it, or you'll dye."," Thou shalt do it, or thou shalt dye.","I will be dead, or else thou shalt die.
"
729,"Thou shalt nat love my lady Emelye,
",you don't have to love my lady Emelye., You don't have to love my lady Emelye.,"Thou shalt not love my lady Emelye,
"
730,"But I wol love hire oonly and namo;
",I'm really happy to hire only oonly and namo;, I really love to hire only oonly and namo;,"But I will love her only and no other;
"
