,original,paraphrase,output,output_reference
663,"That ""field has eyes and the wood has ears.""
","""the field is looking and the wood is listening.""", And the field is looking and the wood is listening,"That ""feeld hath eyen and the wode hath eres.""
"
664,"It is very good for a man to act calmly,
",it's a good thing for a man to act calmly., It is a good thing for a man to act calmly.,"It is ful fair a man to bere hym evene,
"
665,"For every day people meet at unexpected times.
",people meet at unexpected times every day., People meet at unexpected times every day.,"For al day meeteth men at unset stevene.
"
666,"Arcite knows full little of his fellow,
","he knows his fellow very little, and he's not even aware of it."," He knows his fellow very little, and he is not even aware of it.","Ful litel woot Arcite of his felawe,
"
667,"Who was near enough to hear all his speech,
",he was close enough to hear all his speech., He was close enough to hear all his speech.,"That was so ny to herknen al his sawe,
"
668,"For in the thicket he sits now very still.
",he sits down in the thicket and sits still., And sits still in the thicket and sits.,"For in the bussh he sitteth now ful stille.
"
669,"When Arcite had roamed all his fill,
","he was all over the place, and he was running away."," And he was all over the place, and ran away.","Whan that Arcite hadde romed al his fille,
"
670,"And sung all the rondel cheerfully,
","all the rondel cheerfully sang, and sang it with joy."," All the rondel cheerfully sang, and sang with joy,","And songen al the roundel lustily,
"
671,"nbsp;                  He fell suddenly into a state of anxiety,
","he was suddenly worried, and he fell to the ground."," And he fell to the ground, and fell to the ground.","Into a studie he fil sodeynly,
"
672,"As these lovers do in their strange manners,
","these lovers are in their strange ways, and they love it."," These are in their strange ways, and they love it.","As doon thise loveres in hir queynte geres,
"
673,"Now in the tree top, now down in the briars,
","in the top of the tree, now in the woods,"," And in the top of the tree, now in the woods,","Now in the crope, now doun in the breres,
"
674,"Now up, now down, like a bucket in a well.
","then, as a bucket in a well."," Then, as a bucket in a well","Now up, now doun, as boket in a welle.
"
675,"Exactly like the Friday, truly for to tell,
","as a matter of fact, for the purpose of telling, Friday, really for the purpose of telling."," And for the purpose of telling, Friday, really for the purpose of telling.","Right as the Friday, soothly for to telle,
"
676,"Now it shines, now it rains hard,
","it's shining, now it's raining, now it's raining."," Now it is shining, now it is raining,","Now it shyneth, now it reyneth faste,
"
677,"Just so can fickle Venus sadden
",so it can be a little tricky for Venus to be a little tricky., So it can be a little tricky for Venus to be a little bit of a little,"Right so kan geery Venus overcaste
"
678,"The hearts of her folk; just as her day
",the heart of the people; the same as her day., The heart of the people; the same as her day.,"The hertes of hir folk; right as hir day
"
679,"Is changeable, just so she changes her array.
","it's changing the array, just so she can change the array."," It's changing the array, just so she can change the array.","Is gereful, right so chaungeth she array.
"
680,"Friday is seldom like all the rest of the week.
",it's not like the rest of the week., It's not like the rest of the week,"Selde is the Friday al the wowke ylike.
"
681,"When Arcite had sung, he began to sigh
","he began to sigh, and Arcite began to cry."," And he began to sigh, and Arcite began to cry.","Whan that Arcite had songe, he gan to sike
"
682,"And sat himself down without any more.
","without a word, he sat down and sat down. He didn't even have to say a word. He sat down and sat..."," And without a word, he sat down and sat down.","And sette hym doun withouten any moore.
"
683,"""Alas,"" he said, ""that day that I was born!
","unfortunately, I was born that day."," Alas, I was born that day.","""Allas,"" quod he, ""that day that I was bore!
"
684,"How long, Juno, through thy cruelty,
","Jupiter, through your cruelty, Juno, Juno, Juno, Juno, Juno, Juno, Juno, Juno, Juno, Juno, Juno,..."," Jupiter, through your cruelty, Jupiter, Jupiter, Jupiter, Jupiter, Jupiter, ","How longe, Juno, thurgh thy crueltee,
"
685,"Wilt thou make war on the city of Thebes?
",will you attack the city of Thebes?, Will you attack the city of Thebes?,"Woltow werreyen Thebes the citee?
"
686,"Alas, to ruin is brought
","unfortunately, the destruction of the world is brought about by the destruction of the world.", The destruction of the world is brought about by the destruction of the world.,"Allas, ybroght is to confusioun
"
687,"The royal blood of Cadmus and Amphion --
",the blood of Cadmus and Amphion -- the blood of Cadmus and Amphion -- the blood of Cadmus and..., The blood of Cadmus and Amphion--the blood of Cadmus and...,"The blood roial of Cadme and Amphioun --
"
688,"Of Cadmus, who was the first man
","Cadmus, the first man to be born in the world."," And Cadmus, the first man born in the world.","Of Cadmus, which that was the firste man
"
689,"Who built Thebes, before the town first began,
","before the city was built, the city was built by the Egyptians."," Before the city was built, the Egyptians built the city before the city.","That Thebes bulte, or first the toun bigan,
"
690,"And first was crowned king of the city.
",he was the first king of the city., He was the first king of the city.,"And of the citee first was crouned kyng.
"
691,"I am of his lineage and his offspring
",I'm his offspring and his offspring., I am his offspring and his offspring.,"Of his lynage am I and his ofspryng
"
692,"By true lineage, of the royal family,
","of the royal family, the royal family, the royal family, the royal family, the royal family, the..."," Of the royal family, the royal family, the royal family, the royal family, the royal family, the royal family, the...","By verray ligne, as of the stok roial,
"
693,"And now I am so wretched and so enslaved,
","I'm so miserable and so helpless, and I'm so desperate."," I am so miserable and so helpless, and I am so desperate.","And now I am so caytyf and so thral,
"
694,"That he who is my mortal enemy,
",who's my mortal enemy to me., Who is my mortal foe to me.,"That he that is my mortal enemy,
"
695,"I meekly serve him as his squire.
",I'll serve him as a squire to him., I shall serve him as a squire to him.,"I serve hym as his squier povrely.
"
696,"And yet Juno does me much more shame,
",yet I'm much more ashamed of Juno than I am of Juno., Yet I am more ashamed of Juno than I am of Juno.,"And yet dooth Juno me wel moore shame,
"
697,"For I dare not acknowledge my own name;
","I'm not gonna admit my name, I'm not gonna admit my name."," I am not admit my name, I am not admit my name.","For I dar noght biknowe myn owene name;
"
698,"But whereas I was accustomed to be called Arcite,
",and I've been called by the name of Arcite since I was a kid., And I have been called by the name of Arcite since I was a child.,"But ther as I was wont to highte Arcite,
"
